pickup_datetime,passenger,pickup_geohash,dropoff_geohash,fare
2010-05-14 08:09:00,2,dr5rvjg82ce5,dr5ruumrjwkz,6.9
2012-05-21 15:20:00,2,dr5ruw710t7p,dr5ruz7mwx5z,10.1
2014-12-08 16:00:01,1,dr5ru3rqeb1b,dr5rec8rycp0,16.5
2010-08-16 01:33:00,2,dr72hfwed01x,dr5ruvn268dv,15.07
2010-12-04 14:26:13,1,dr5rspv7dnz5,dr5ru3rbfuj5,7.7
2011-08-12 04:20:00,1,dr5reyvurzc5,dr72mb0f29py,24.9
2013-02-06 22:16:00,2,dr5rukgm88pe,dr5ru199hy8q,7.0
2014-06-11 22:24:21,1,dr5rspx55fe4,dr5ru6sf2nfv,8.5
2010-08-19 16:33:00,1,dr5rusvcugd7,dr5ruq4x3d9d,5.7
2013-03-10 15:44:00,1,dr5rec95gtqv,dr5redykx1k1,5.0
2013-06-14 08:27:43,1,dr72j1sx9wtj,dr5rvp65htu8,8.5
2013-07-08 21:24:00,1,dr5ref5ub34g,dr5ruf0jcjmk,17.0
2014-03-21 11:00:29,1,dr72m0wg2jf6,dr72huuuxs8v,8.0
2014-10-02 13:39:56,1,dr5ru4nnyw02,dr5rudh6x5vs,12.0
2011-08-31 08:21:47,1,dr5rvcwvrz26,dr5rusvfw9c9,12.5
2014-05-19 06:26:00,1,dr5rsqc8349d,dr5rudd87bcf,7.5
2012-04-05 05:50:00,5,dr5rezjkm94g,dr5ru2cm4jkj,6.9
2015-03-04 14:55:40,2,dr5ru37h91zb,dr5ru1mbr9hx,5.0
2010-04-27 21:40:07,1,dr5rsnf50sf3,dr5rukypjvz1,10.5
2011-02-22 11:09:16,1,dr5ruucw85sx,dr5ru6jec7cw,7.7
2015-04-03 16:21:30,2,dr5ruw8xk3yn,dr5rvpbstkde,11.0
2009-01-09 15:01:20,1,dr5ru68165w0,dr5ru2zmu5u3,5.7
2013-01-09 14:42:00,1,dr5rvr1832qt,dr5ruukb3cy8,9.0
2013-07-06 17:18:00,1,dr72j0qgbfg1,dr5rumyjr3gn,13.5
2013-10-08 17:29:00,1,dr5rut5fyq6t,dr5rux7j77ce,7.5
2014-12-07 12:26:00,1,dr5ru6ty344s,dr5ru5f0mqwb,9.0
2015-05-17 08:02:59,1,dr5rst9bxkwg,dr5reeq1h44u,14.0
2011-06-09 00:53:00,3,dr5rsmr4mbw5,dr5rsr7e4ph5,5.7
2014-11-12 12:40:29,1,dr5ru02vnysj,dr5ruhqb1mf5,10.0
2010-06-04 14:49:00,5,dr5ruhrses7q,dr5rus19uztb,5.7
2010-11-08 20:42:00,2,dr5ruu2jv8ux,dr5rsq0pdp8v,9.7
2011-03-09 07:24:34,1,dr5rudt3vmub,dr5recg4k2gz,14.1
2011-08-04 10:38:00,2,dr5ruk8ywxdb,dr5rukx6jspp,7.7
2009-03-25 00:08:52,1,dr5rg3bdrfvp,dr5rg3bdrfvp,52.0
2010-03-22 10:01:00,1,dr5rezj60k1s,dr5ruevmcrt7,11.3
2012-03-25 09:22:45,1,dr5rsmus1mh4,dr5rue5s1qhj,8.5
2012-06-05 09:16:00,6,dr72hcspgjzw,dr5rut69r55e,12.9
2012-11-06 11:33:14,1,dr5rutpn6zms,dr5ruu6pw42u,9.5
2014-05-22 18:30:00,1,dr5ru6pb2h79,dr5ruuc4vc3w,9.0
2014-10-17 08:28:00,6,dr5rsr8u45jq,dr5rudh6k5xv,10.0
2012-12-06 18:05:00,2,dr72j1hvfzz3,dr5rtkg3gewv,35.0
2012-12-06 18:05:00,1,dr5ruyx27tpb,dr5ruwfe4cxd,9.0
2014-07-20 12:48:35,1,dr5ru9nnr469,dr5rvjhrd2vn,17.0
2009-01-25 18:41:00,5,dr5ru14c8hte,dr5rezqq5equ,6.1
2010-03-27 02:26:39,2,dr5rsuny9z73,dr5rkuxsv6ev,14.5
2011-01-05 17:39:00,1,dr5ruu6gsgp6,dr5ruv4hqwx2,3.7
2012-05-11 15:03:53,2,dr5ryyxqms1d,dr5ruubmb38h,32.5
2010-01-03 10:20:12,3,dr5ru0qkvw70,dr5rsjgpsmge,5.3
2012-11-08 21:00:00,5,dr5rudr4z119,dr5rezy3xjbc,11.5
2013-11-23 23:34:03,1,dr5ru0z2vfct,dr5ru65e4tjr,4.0
2010-06-17 16:12:58,1,dr5rugem8k8m,dr5ru1rtnk18,10.5
2012-08-19 19:56:34,1,dr5rzn8um1s2,dr5x83q2mtcf,17.7
2013-01-17 17:22:00,2,7zzzzzzzzzzz,7zzzzzzzzzzz,8.0
2013-05-10 16:39:08,1,dr5rusxrys3t,dr5ruznkzsv3,5.0
2013-09-17 04:22:00,1,dr5rsqs1t03x,dr5rt8sq7vhr,19.0
2014-01-06 21:21:00,1,dr5rsk7prjj9,dr5ru848x7nf,8.0
2010-09-30 08:38:00,2,dr5rsmhsg9c2,dr5reum48qpf,7.3
2012-10-06 15:47:00,5,dr5ruqzf7qvw,dr72h9w0fsfw,6.5
2013-02-11 00:13:00,1,dr5rsp2fby8c,dr5rsq7tjrkw,8.0
2014-09-12 23:10:00,1,dr5rkkye5tst,dr5rsj3j822n,16.5
2009-09-22 21:14:00,2,dr5rudg947m8,dr5x0ygx1nkc,49.57
2012-02-03 13:46:35,1,dr5ru25d6tbp,dr5ruv5zdqck,10.5
2012-02-12 01:26:00,5,dr5ru7gqvvp6,dr72mzfkvm4f,22.5
2012-12-21 06:47:00,1,dr5rvq1je586,dr5rus0jf37v,11.5
2014-11-01 16:51:09,2,dr5ru3vyrn01,dr5rueervm84,12.5
2013-01-26 18:36:00,1,dr72j0z12upy,dr72j3ebjxck,5.5
2013-05-20 11:03:50,1,dr5ru9bvgcjt,dr5ruu2rcepj,6.5
2015-05-31 07:33:18,3,dr5ru5m194rz,dr72j5ucmwyj,16.5
2015-02-15 22:41:32,1,dr5rsp0rd8m7,dr5reft08wc0,9.0
2009-06-25 10:29:00,1,dr5rvj9df6e6,dr5rus8pvpj0,8.9
2009-07-23 17:05:10,1,dr5ru3wwwnbg,dr5rvnk53k6r,10.9
2011-03-19 15:00:27,1,dr5rsw8sjj9v,dr5ru4zfmch5,8.9
2011-05-06 11:37:14,1,dr5ruyttywb4,dr5ruskc58nu,8.5
2013-02-08 09:50:04,1,dr5rugyntc64,dr5ru6uvsxg6,17.0
2010-08-24 01:39:26,1,dr5rsj001me3,dr5rke2wn1r4,12.5
2014-05-13 22:19:00,1,dr5rukxb0r0g,dr5x3kemu4wr,52.5
2014-10-25 21:24:00,1,dr5rgcw8n8rx,dr72hfq5cpc0,16.0
2015-04-19 22:21:12,1,dr5ru3v6j5sc,dr5rgbtk0jtw,8.0
2010-05-17 07:44:00,1,dr72j0y993n9,dr5reugkuqmp,17.3
2011-10-26 03:37:00,1,dr5regk8nre7,dr5rsncgsrm8,5.7
2015-04-18 09:30:31,1,dr5ru8bexz6q,dr5rudeee5nq,5.5
2009-02-27 13:31:21,2,dr5rust07h82,dr5rs426vbtr,16.5
2009-07-16 20:33:00,2,dr5rkt8v7mwu,dr5rsq4f8z8c,12.9
2011-05-16 13:10:38,1,dr5ru234pnbf,dr5rujxbyy35,10.1
2013-08-09 21:19:00,1,dr5rsq8pzu51,dr5rgbwcnk3z,9.5
2010-03-14 15:40:00,5,dr5rud1s211n,dr5rueevtkk1,4.5
2011-04-27 13:19:48,1,dr5ruszed4j3,dr5ruekkexxk,6.5
2015-01-30 00:16:06,1,dr5rsj45cmjs,dr5rm08mk289,21.5
2014-11-04 12:11:19,1,dr5rueuyvnj0,dr5rut9091md,8.0
2009-12-27 21:07:39,1,dr5ru02wktqm,dr5rsr1p2qd0,4.9
2010-07-04 13:07:47,2,dr5ru6365zsn,dr5rud9j4y75,5.7
2011-06-12 13:33:00,5,dr5rvjxdum3k,dr5rsp0x43eu,15.3
2012-08-28 12:29:40,1,dr5ru7bt86yq,dr5rsjr752zg,14.9
2012-11-11 18:23:00,1,dr5rsn4u7p61,dr5rsr8q4fxg,7.0
2013-03-24 18:05:42,1,dr5rzjvyqxfb,dr5refjwfjmd,35.5
2014-08-13 08:26:00,1,dr72j15bhgnu,dr5ruvee6yzk,8.5
2009-01-16 21:10:00,1,dr5ru4x0gsbp,dr5ruk4ftwxe,4.5
2011-01-21 18:43:46,1,dr5rumxszvyk,dr5ruktj3fxd,4.1
2011-02-26 20:27:36,1,dr5ruxbqd4nk,dr5ru0mbf14v,11.7
2013-06-22 02:35:01,1,dr5ru1s7pzqu,dr72m2bby9r4,23.0
2009-06-06 23:56:00,2,dr5rukxdy0k7,dr5rueq356by,5.7
2009-01-24 09:51:00,1,dr5ruvfcdme5,dr5rvp7wq133,5.3
2015-02-27 07:50:56,1,dr5rvr595msn,dr72j0ew63zw,10.5
2009-03-25 14:48:49,1,dr5ruqxvu0xw,dr72h9hf0uef,4.9
2010-09-10 18:45:00,4,dr5rumqufy1e,dr5rursz5299,6.5
2011-08-31 13:47:02,2,dr5rsw88f1vm,dr5rgfj3q2vd,11.3
2013-04-12 04:39:51,1,dr5ruumqm38f,dr5rvbqymswj,11.5
2009-05-29 09:46:11,2,dr5rukqyvqrq,dr5ru73z46uw,5.3
2010-07-15 19:09:01,1,dr5reznrvumz,dr5ru12xzt61,5.7
2009-09-07 18:52:00,1,dr72j1jxuyhr,dr5ruwbge1vz,8.1
2010-06-09 06:20:32,1,dr5reusyy8js,dr5ru0h5fjm6,6.1
2012-04-15 17:02:44,1,dr5ru1wjbxwx,dr5rumqjvdtk,9.3
2013-02-06 14:52:00,2,dr5ruer5jg9k,dr5ruer5md1v,4.5
2011-12-13 05:56:00,4,dr5ru73ub9ey,dr5ruejdkpmh,5.7
2014-07-27 08:22:00,2,dr5rvj5ez14f,dr5rgbm2s10u,16.5
2013-06-06 15:23:56,2,dr5rvhu5b0uq,dr5rsnwc1n87,17.0
2014-07-12 15:22:00,6,dr5ref9t10r2,dr5ruhhrghw8,24.5
2010-05-25 20:14:00,1,dr5rezxh21cj,dr5rsqssbfpm,6.1
2012-09-08 00:49:20,1,dr5reyx7202u,dr5resrh4e3g,6.0
2014-01-08 21:55:58,1,dr5rsjgzym0h,dr5rsjgzym0h,6.5
2010-09-05 17:08:00,5,7zzzzzzzzzzz,7zzzzzzzzzzz,3.7
2012-08-30 18:57:00,3,dr5rvv0kewq6,dr5rvsbn6pkn,4.5
2013-05-02 07:41:00,1,dr5rsks55m39,dr5rvp2rzs08,27.0
2014-02-05 00:28:00,1,dr5ru1m3ch35,dr5ru811zjt4,16.0
2010-01-12 17:11:00,1,dr5rvh8x34wb,dr5rsum964y4,16.1
2010-11-07 17:14:23,2,dr5rudt4kjb3,dr72h82jk5mb,15.7
2012-04-22 00:35:00,6,dr5rzjww3tvx,dr5rsrzc75fm,26.9
2013-01-05 21:36:00,1,dr5rsrdm7pnb,dr5ru2runjje,5.5
2013-10-05 09:12:21,1,dr5ru1fw5f3x,dr5ru5xkp64j,6.0
2009-11-16 23:53:00,1,dr5rsh3u91xw,dr5redypsmcq,7.7
2011-04-05 11:29:00,1,dr5rsqm8knxe,dr5ruebznyyw,12.9
2012-04-25 20:39:00,1,dr5ru1xnp2qz,dr5refzjjpet,11.3
2011-01-10 16:07:00,2,dr780szdhndz,dr5rstdkeezg,42.5
2011-01-14 18:10:00,2,dr5ru3uf8w5v,dr5ru9kdk6er,5.7
2012-04-02 08:02:16,2,dr5rvr88nwvf,dr5rvp3pbs0n,5.3
2010-02-10 08:57:54,1,dr5rvjkk2mhk,dr5ru3n7uy0p,10.5
2011-05-31 22:21:01,1,dr5ruhrhwe5u,dr72hdn9uwfq,7.3
2011-09-26 09:32:42,1,dr5ru0qpxgf4,dr5rsrgud8tf,4.5
2012-10-23 08:09:25,1,dr5rumxww8nb,dr5ru3qcpjmn,12.5
2013-09-07 22:29:00,1,dr5rsnyr6feu,dr5rvpz6trwv,16.5
2012-07-31 19:20:00,2,dr5rsn0cggyn,dr5rsq0v3806,4.9
2011-08-26 08:00:00,1,dr5rsr1rmf49,dr5rsjvedu2p,4.1
2013-03-17 12:56:58,1,dr5rumttvkz4,dr5rsn9jmzbc,15.5
2015-05-25 15:11:09,1,dr5rutphdmrd,dr5rsxcenu20,11.0
2009-04-08 19:11:10,2,dr5rsnhnffqj,dr5rsrd5zqyj,4.9
2009-06-06 01:57:52,1,dr5rsw17b2xx,dr5rvnfw6dt8,11.3
2011-02-27 14:45:00,1,dr5ru3wtjmpd,dr5ruytqk0yt,7.3
2012-01-13 11:28:00,6,dr72j072v6g3,dr72jdkp48hk,14.9
2012-03-16 07:58:00,5,dr5rukzgru1d,dr5rzn95mxhr,30.9
2012-06-18 20:57:27,1,dr5ru6drfd4p,dr5rgcj6742v,6.1
2010-02-23 09:49:00,1,dr5ru4mckufg,dr5ru4qz4pts,3.3
2012-01-06 07:05:08,1,dr5ru70fbekp,dr5ru6ysste2,4.1
2014-07-21 14:03:00,3,dr5rusvus4y7,dr5ru4qgkewq,12.0
2014-08-05 11:44:33,1,dr5ru71h9rvu,dr5rgfx5z4nv,9.0
2012-03-29 03:51:00,1,dr5rskfgb19p,dr5rskgp0994,2.5
2012-06-30 13:43:00,1,dr5ru34db5hv,dr5rug5u4rwt,8.9
2014-01-31 04:49:53,1,dr5rstd1h94p,dr5rsgmg8pgd,10.5
2010-11-16 19:40:00,1,dr5rsn4qy4v1,dr5reuxnjdsy,5.7
2012-12-15 19:11:53,2,dr5rsh95cxku,dr5refjwymbh,7.0
2014-07-20 23:51:54,1,dr5rumtv88gu,dr72j77pyy0g,12.0
2010-05-24 14:24:00,1,dr5ru7x95pn2,dr5x0zec2tpn,49.57
2011-07-24 01:14:35,2,7zzzzzzzzzzz,7zzzzzzzzzzz,8.5
2012-08-18 18:33:00,1,dr5rvr13t4q7,dr5rvhgjrcxg,4.5
2009-08-08 21:32:00,5,dr5rusduw11c,dr5ru6352ms3,7.3
2010-01-08 00:28:00,1,dr5ru7htrzh0,dr5ru07ekdq2,5.3
2010-09-19 19:28:00,5,dr5rug6e4p67,dr5rsrx4n64t,6.9
2012-05-16 18:14:00,1,dr72hdpfksxp,dr5ruvcue1zs,9.3
2009-02-13 16:54:52,1,dr5rvp8pnf3t,dr72h9k1spr2,6.7
2009-06-20 19:28:37,1,dr5rux1vh6f0,dr5ruetght38,7.3
2013-09-03 08:08:00,1,dr5ruxbb88cd,dr72j1htbz3m,9.0
2013-01-20 14:33:27,2,dr5rgbkcmxym,dr5rus15bvuw,13.0
2013-07-31 06:51:13,1,dr5rukfvphwd,dr72m6mw2qsr,19.0
2013-09-09 22:12:59,1,dr5rut5cx5wz,dr5ruustd7k6,5.5
2009-01-23 07:28:00,1,dr5rspjsweut,dr5rus2zj3f6,8.1
2011-02-18 13:19:49,1,dr5rusq2e6bh,dr72h9m8fwwj,9.3
2013-05-11 19:51:00,1,dr5rsjh6mhrs,dr5rukgkhxsv,18.0
2014-09-13 12:17:00,1,dr5rumqk6s3v,dr5ruzn1xkhz,12.0
2009-04-21 22:59:27,1,dr5rufcc05z3,dr5ru300wy5b,7.3
2009-09-26 15:17:20,2,dr72j05hp5br,dr5ruyq6evmk,4.9
2010-05-28 21:33:07,1,dr5x0zs45vkq,dr5x2m9h736z,16.1
2011-05-02 08:20:11,2,dr5rusfkjwsp,dr5reuh3u8ge,12.9
2015-02-14 19:00:23,1,dr5ruznd144h,dr5rvnewpn7s,4.0
2011-05-02 12:44:59,1,dr5rgfw40kue,dr5rvj5dup4v,15.3
2012-06-24 17:33:00,1,dr5rvjgvxk4n,dr5ru3w68w0r,11.7
2010-05-22 23:29:57,1,dr5ru09z7sx2,dr72mxngd76p,25.3
2010-06-30 02:22:05,1,dr5rshzfet8f,dr5rthfr7kcy,8.9
2013-04-26 02:06:00,1,dr5rudfq3e2u,dr5ru9yr4mjh,6.0
2013-05-02 03:57:12,1,dr5rshjvjm5m,dr5reuupwpx6,6.0
2011-01-23 11:44:28,1,dr5rspbjttev,dr5rsjs7t69j,6.5
2012-10-14 21:06:27,1,dr5rud5qgm8s,dr5rsr5v4r73,7.5
2015-04-30 14:07:57,1,dr5rgczynj9q,dr5ru7rnfdm3,16.5
2010-07-12 09:44:33,1,dr5rsrx09651,dr5ru231qk8r,4.9
2012-01-08 19:03:15,1,dr5ruvmc9xu0,dr5rsqfvucx5,9.7
2012-04-24 13:00:36,1,dr72h89gs1yr,dr72huvhemw4,7.7
2014-05-09 09:42:16,2,dr72hg38hbn3,dr72ms3x8wqs,19.0
2009-07-31 13:53:52,1,dr5ru76ndwq9,dr72m1xtcrf9,16.9
2012-11-18 12:17:00,2,dr5ru03jrv3g,dr5rskuhcvpj,10.5
2011-06-15 18:07:00,3,dr5ru4vs8xc2,dr5rut6hyb9w,8.9
2012-08-25 01:53:42,1,dr5ru1tv69xc,dr5ru1tv69xc,7.5
2012-09-06 13:41:00,1,dr5rgbwgbyjs,dr5ru4067m0m,5.5
2009-05-13 18:17:00,1,dr5ruyum5e9f,dr72jjpt8j2j,10.9
2009-10-30 18:13:00,4,7zzzzzzzzzzz,7zzzzzzzzzzz,8.1
2010-01-17 22:07:00,1,dr5rug6qq41m,dr5rvjsuexxc,5.7
2009-12-06 11:58:29,2,dr5rgfhcvrrs,dr5rvpve9q7v,18.1
2010-06-30 06:15:00,5,dr72j0h2k2cw,dr5ru4qfubxj,10.9
2011-04-04 18:56:00,5,dr72jkr4yq26,dr5rvn6f4dep,8.9
2014-03-03 23:30:00,2,dr5ruxb5pjk8,dr5rezksvf0w,13.5
2014-05-19 20:59:26,2,dr5ru02ukmdv,dr5ru4qv32ff,5.0
2011-12-07 19:40:21,1,dr5rvpbyshzw,dr5rvr6q00ym,5.3
2012-06-17 02:05:53,1,dr5rsm5drd9n,dr5rsr8qg91h,7.7
2013-01-01 14:26:00,1,dr72hg116w9q,dr5rurptzh79,9.0
2011-10-08 00:24:00,1,dr5rsr51tmjn,dr5rv0cz1msr,16.1
2012-07-30 16:19:08,2,dr72hf7hm35f,dr72hu5g6tn5,4.9
2012-09-09 10:24:15,1,dr5ru45k822n,dr5ru0nmtdzd,5.5
2013-06-14 17:37:00,1,dr5x1p4nr4kn,dr5rus84g5d1,57.33
2014-02-28 22:45:07,3,dr5rvn4kyjvw,dr5rux5w0keb,8.5
2014-06-10 14:18:29,1,dr5rux250h30,dr72hvpvttpx,9.5
2015-03-29 13:31:25,1,dr72j1kgruf3,dr72jh6rd5um,7.5
2009-12-14 12:33:00,1,dr5ru3x9hmu2,dr5ru3x9hmu2,6.9
2013-09-21 02:54:00,2,dr5ru32sv89s,dr5rsqsg7dxh,7.5
2009-08-31 10:25:00,1,dr5rur4z7d5v,dr5ruhhtne9g,8.1
2011-01-18 23:48:00,3,dr5rgbq12q2j,dr5reu6zn8nb,6.1
2012-06-26 13:08:14,1,dr5ruu50j00e,dr5ruek3z8c8,5.7
2010-01-21 08:39:00,1,dr5ru2hp3knp,dr5ruwgmtus1,14.1
2011-07-21 15:43:00,1,dr5ru2dqbe9p,dr5rsnp30b2e,5.7
2013-11-06 11:26:54,1,dr5rvpbwuuzb,dr5ruvwqr4dg,7.0
2014-02-09 02:17:00,1,dr5rsmjr9377,dr5rudxvrf6n,12.0
2015-04-18 08:29:08,1,dr5rvjg88fkr,dr5ru6n2f79z,11.5
2010-03-27 22:20:51,1,dr5rzn8u43ju,dr5ry4cr2sy2,12.1
2010-06-15 13:31:08,1,dr5rvh1qs5zh,dr5rzjxezeu2,26.67
2010-09-13 09:37:00,1,dr5ru7k90n0h,dr5ruhvuqcvk,4.5
2011-04-04 20:59:01,1,dr5ru3n06zst,dr5rvhb8us8j,10.1
2011-05-08 10:43:27,1,dr72h80etk3f,dr5ru7xbqs2e,7.7
2014-07-11 05:07:00,2,dr5rvnqjcqjs,dr5rev55kkj6,25.0
2014-08-21 10:21:17,1,dr5rustu8muu,dr5rtqjbvedq,19.0
2013-10-31 11:49:16,1,dr5ru6gjsc9t,dr5rsm6tgyj1,14.0
2013-11-15 01:51:35,1,dr5rsm59m381,dr5rsqzhk5d6,5.0
2015-05-10 22:41:10,1,dr72h83q2nvt,dr5r5z496sj6,43.5
2015-06-20 09:50:28,1,dr5reg513nfj,dr5rsjkhp6c5,8.0
2009-03-13 17:43:18,4,dr5rue4ukn10,dr5rvp8ertuh,8.7
2011-01-27 21:30:00,1,dr5rug2h3m1n,dr5ruu5p1z5f,3.7
2011-11-24 01:58:25,1,dr5ruggu39rk,dr72mt817fd3,20.5
2015-06-02 23:16:15,0,dr5rudt07ftj,dr72w4m6nn3k,34.0
2015-03-19 12:38:17,1,dr5ryyxq30d1,dr5ruqprjt8q,52.83
2009-07-16 22:38:00,1,dr5rut6jmssm,dr72h86vw01g,6.1
2013-06-22 13:48:00,1,dr5ruegxtb46,dr5ru62bug0v,8.5
2014-03-10 19:50:51,1,dr72n98xkhj9,dr72n9344hk6,20.0
2010-05-28 08:18:34,1,dr5ru2jju189,dr5ruyukfz45,10.5
2012-03-10 22:53:25,1,dr5x1pjrv4w1,dr5x86f7mdpk,26.5
2015-06-01 21:41:06,4,dr5ruun9v80m,dr5ruw6jtsw5,8.0
2009-01-26 00:44:42,1,dr5rkprnb648,dr5redyekzr5,10.6
2010-09-21 07:06:31,1,dr5rugupcuj0,dr5rudtpu8fv,4.5
2011-03-09 22:21:25,1,dr72h96vp8u9,dr5ruu4pnjqj,9.7
2011-12-05 08:38:34,1,dr5ruv39wm8p,dr5refh97tdx,20.5
2012-01-06 10:57:10,1,dr5rsrpb11gw,dr5rus1jpkzt,9.3
2014-05-25 21:09:00,1,dr5refqzmx1m,dr5ru62n6bys,18.5
